Fold,Conjunto,N_Clusters,Ruido_%,Silhouette,Davies_Bouldin,Calinski_Harabasz,Inercia,Min_Cluster_%
1,Treino,3,0.0,0.3953,0.9662,5722.4272,,29.66
1,Teste,3,0.0,0.4005,0.9515,1430.9782,,29.52
2,Treino,3,0.0,0.3952,0.9543,5740.7758,,28.65
2,Teste,3,0.0,0.3894,0.9699,1390.8793,,27.96
3,Treino,3,0.0,0.396,0.9632,5729.3719,,30.39
3,Teste,3,0.0,0.3927,0.958,1399.8238,,26.83
4,Treino,3,0.0,0.3928,0.9593,5707.9693,,28.93
4,Teste,3,0.0,0.3923,0.9716,1431.8411,,31.46
5,Treino,3,0.0,0.3977,0.9631,5666.0963,,29.23
5,Teste,3,0.0,0.3979,0.9566,1476.8414,,31.04
