n_clusters,init,n_init,max_iter,algorithm,random_state,Silhouette_Media,Silhouette_Desvio,Davies_Bouldin_Media,Calinski_Harabasz_Media,Inercia_Media,Min_Cluster_Media
3,random,20,300,elkan,42,0.2159,0.0049,1.6129,547.106,6418.265,30.258
3,random,20,300,lloyd,42,0.2159,0.0049,1.6129,547.106,6418.265,30.258
3,random,20,500,elkan,42,0.2159,0.0049,1.6129,547.106,6418.265,30.258
3,random,20,500,lloyd,42,0.2159,0.0049,1.6129,547.106,6418.265,30.258
3,k-means++,10,300,elkan,42,0.2159,0.0048,1.613,547.1008,6418.2633,30.258
3,k-means++,10,300,lloyd,42,0.2159,0.0048,1.613,547.1008,6418.2633,30.258
3,k-means++,10,500,elkan,42,0.2159,0.0048,1.613,547.1008,6418.2633,30.258
3,k-means++,10,500,lloyd,42,0.2159,0.0048,1.613,547.1008,6418.2633,30.258
3,k-means++,20,300,elkan,42,0.2159,0.0048,1.613,547.1008,6418.2286,30.258
3,k-means++,20,300,lloyd,42,0.2159,0.0048,1.613,547.1008,6418.2286,30.258
3,k-means++,20,500,elkan,42,0.2159,0.0048,1.613,547.1008,6418.2286,30.258
3,k-means++,20,500,lloyd,42,0.2159,0.0048,1.613,547.1008,6418.2286,30.258
3,random,10,300,elkan,42,0.2159,0.0049,1.613,547.1111,6418.285,30.286
3,random,10,300,lloyd,42,0.2159,0.0049,1.613,547.1111,6418.285,30.286
3,random,10,500,elkan,42,0.2159,0.0049,1.613,547.1111,6418.285,30.286
3,random,10,500,lloyd,42,0.2159,0.0049,1.613,547.1111,6418.285,30.286
4,k-means++,10,300,elkan,42,0.186,0.0082,1.713,427.3707,5973.2882,15.006
4,k-means++,10,300,lloyd,42,0.186,0.0082,1.713,427.3707,5973.2882,15.006
4,k-means++,10,500,elkan,42,0.186,0.0082,1.713,427.3707,5973.2882,15.006
4,k-means++,10,500,lloyd,42,0.186,0.0082,1.713,427.3707,5973.2882,15.006
4,k-means++,20,300,elkan,42,0.1823,0.006,1.7752,425.2784,5986.4748,16.256
4,k-means++,20,300,lloyd,42,0.1823,0.006,1.7752,425.2784,5986.4748,16.256
4,k-means++,20,500,elkan,42,0.1823,0.006,1.7752,425.2784,5986.4748,16.256
4,k-means++,20,500,lloyd,42,0.1823,0.006,1.7752,425.2784,5986.4748,16.256
4,random,10,300,elkan,42,0.1823,0.006,1.7754,425.2933,5986.2756,16.242
4,random,10,300,lloyd,42,0.1823,0.006,1.7754,425.2933,5986.2756,16.242
4,random,10,500,elkan,42,0.1823,0.006,1.7754,425.2933,5986.2756,16.242
4,random,10,500,lloyd,42,0.1823,0.006,1.7754,425.2933,5986.2756,16.242
4,random,20,300,elkan,42,0.1823,0.006,1.7754,425.2933,5986.2863,16.242
4,random,20,300,lloyd,42,0.1823,0.006,1.7754,425.2933,5986.2863,16.242
4,random,20,500,elkan,42,0.1823,0.006,1.7754,425.2933,5986.2863,16.242
4,random,20,500,lloyd,42,0.1823,0.006,1.7754,425.2933,5986.2863,16.242
5,random,10,300,elkan,42,0.1659,0.0073,1.8469,371.1916,5557.1145,11.048
5,random,10,300,lloyd,42,0.1659,0.0073,1.8469,371.1916,5557.1145,11.048
5,random,10,500,elkan,42,0.1659,0.0073,1.8469,371.1916,5557.1145,11.048
5,random,10,500,lloyd,42,0.1659,0.0073,1.8469,371.1916,5557.1145,11.048
5,random,20,300,elkan,42,0.1658,0.0073,1.8471,371.1875,5557.1421,11.062
5,random,20,300,lloyd,42,0.1658,0.0073,1.8471,371.1875,5557.1421,11.062
5,random,20,500,elkan,42,0.1658,0.0073,1.8471,371.1875,5557.1421,11.062
5,random,20,500,lloyd,42,0.1658,0.0073,1.8471,371.1875,5557.1421,11.062
5,k-means++,20,300,elkan,42,0.1657,0.0072,1.8484,371.2199,5556.7062,11.062
5,k-means++,20,300,lloyd,42,0.1657,0.0072,1.8484,371.2199,5556.7062,11.062
5,k-means++,20,500,elkan,42,0.1657,0.0072,1.8484,371.2199,5556.7062,11.062
5,k-means++,20,500,lloyd,42,0.1657,0.0072,1.8484,371.2199,5556.7062,11.062
5,k-means++,10,300,elkan,42,0.1635,0.0054,1.8622,371.4261,5556.0367,11.146
5,k-means++,10,300,lloyd,42,0.1635,0.0054,1.8622,371.4261,5556.0367,11.146
5,k-means++,10,500,elkan,42,0.1635,0.0054,1.8622,371.4261,5556.0367,11.146
5,k-means++,10,500,lloyd,42,0.1635,0.0054,1.8622,371.4261,5556.0367,11.146
6,k-means++,20,300,elkan,42,0.1559,0.0065,1.8687,329.6627,5263.609,10.11
6,k-means++,20,300,lloyd,42,0.1559,0.0065,1.8687,329.6627,5263.609,10.11
6,k-means++,20,500,elkan,42,0.1559,0.0065,1.8687,329.6627,5263.609,10.11
6,k-means++,20,500,lloyd,42,0.1559,0.0065,1.8687,329.6627,5263.609,10.11
6,random,10,300,elkan,42,0.1559,0.0064,1.8698,329.5885,5263.9723,10.124
6,random,10,300,lloyd,42,0.1559,0.0064,1.8698,329.5885,5263.9723,10.124
6,random,10,500,elkan,42,0.1559,0.0064,1.8698,329.5885,5263.9723,10.124
6,random,10,500,lloyd,42,0.1559,0.0064,1.8698,329.5885,5263.9723,10.124
6,k-means++,10,300,elkan,42,0.1558,0.0065,1.8685,329.6642,5263.4304,10.11
6,k-means++,10,300,lloyd,42,0.1558,0.0065,1.8685,329.6642,5263.4304,10.11
6,k-means++,10,500,elkan,42,0.1558,0.0065,1.8685,329.6642,5263.4304,10.11
6,k-means++,10,500,lloyd,42,0.1558,0.0065,1.8685,329.6642,5263.4304,10.11
6,random,20,300,elkan,42,0.1558,0.0064,1.8701,329.5459,5263.8666,10.11
6,random,20,300,lloyd,42,0.1558,0.0064,1.8701,329.5459,5263.8666,10.11
6,random,20,500,elkan,42,0.1558,0.0064,1.8701,329.5459,5263.8666,10.11
6,random,20,500,lloyd,42,0.1558,0.0064,1.8701,329.5459,5263.8666,10.11
