Variante_Dados,Modelo,algorithm,init,max_iter,n_clusters,n_init,random_state,N_Clusters,Ruido_%,Silhouette,Davies_Bouldin,Calinski_Harabasz,Inercia,Min_Cluster_%,batch_size,covariance_type,n_components,branching_factor,threshold
Atual_M2,KMeans,lloyd,k-means++,300.0,2.0,20.0,42.0,2,0.0,0.2784,1.4081,1426.4962,16371.6536,39.07,,,,,
Atual_M2,KMeans,lloyd,k-means++,300.0,2.0,50.0,42.0,2,0.0,0.2784,1.4081,1426.4962,16371.6536,39.07,,,,,
Atual_M2,KMeans,lloyd,k-means++,300.0,3.0,20.0,42.0,3,0.0,0.2151,1.6096,1144.0243,13701.3142,30.67,,,,,
Atual_M2,KMeans,lloyd,k-means++,300.0,3.0,50.0,42.0,3,0.0,0.2151,1.6096,1144.0243,13701.3142,30.67,,,,,
Atual_M2,KMeans,lloyd,k-means++,300.0,4.0,20.0,42.0,4,0.0,0.1787,1.9173,902.1323,12694.3028,18.4,,,,,
Atual_M2,KMeans,lloyd,k-means++,300.0,4.0,50.0,42.0,4,0.0,0.1787,1.9173,902.1323,12694.3028,18.4,,,,,
Atual_M2,KMeans,lloyd,k-means++,300.0,5.0,20.0,42.0,5,0.0,0.1613,1.853,785.7876,11789.1846,10.97,,,,,
Atual_M2,KMeans,lloyd,k-means++,300.0,5.0,50.0,42.0,5,0.0,0.1613,1.853,785.7876,11789.1846,10.97,,,,,
Atual_M2,KMeans,lloyd,k-means++,300.0,6.0,20.0,42.0,6,0.0,0.1563,1.8837,698.1894,11155.007,10.1,,,,,
Atual_M2,KMeans,lloyd,k-means++,300.0,6.0,50.0,42.0,6,0.0,0.156,1.8806,698.2023,11154.8963,10.1,,,,,
Atual_M2,KMeans,lloyd,k-means++,300.0,7.0,20.0,42.0,7,0.0,0.1532,1.9786,628.6753,10689.5657,10.13,,,,,
Atual_M2,KMeans,lloyd,k-means++,300.0,7.0,50.0,42.0,7,0.0,0.153,1.9866,628.7098,10689.2388,10.13,,,,,
Atual_M2,KMeans,lloyd,k-means++,300.0,8.0,20.0,42.0,8,0.0,0.1427,2.0702,575.1498,10300.7702,10.1,,,,,
Atual_M2,KMeans,lloyd,k-means++,300.0,8.0,50.0,42.0,8,0.0,0.1427,2.0702,575.1498,10300.7702,10.1,,,,,
Atual_M2,KMeans,lloyd,k-means++,300.0,9.0,20.0,42.0,9,0.0,0.1333,2.0465,526.4095,10033.931,8.6,,,,,
Atual_M2,KMeans,lloyd,k-means++,300.0,9.0,50.0,42.0,9,0.0,0.1333,2.0465,526.4095,10033.931,8.6,,,,,
Atual_M2,KMeans,lloyd,k-means++,300.0,10.0,20.0,42.0,10,0.0,0.1299,2.0848,488.1811,9784.2093,7.57,,,,,
Atual_M2,KMeans,lloyd,k-means++,300.0,10.0,50.0,42.0,10,0.0,0.1299,2.0848,488.1811,9784.2093,7.57,,,,,
Atual_M2,KMeans,lloyd,k-means++,500.0,2.0,20.0,42.0,2,0.0,0.2784,1.4081,1426.4962,16371.6536,39.07,,,,,
Atual_M2,KMeans,lloyd,k-means++,500.0,2.0,50.0,42.0,2,0.0,0.2784,1.4081,1426.4962,16371.6536,39.07,,,,,
Atual_M2,KMeans,lloyd,k-means++,500.0,3.0,20.0,42.0,3,0.0,0.2151,1.6096,1144.0243,13701.3142,30.67,,,,,
Atual_M2,KMeans,lloyd,k-means++,500.0,3.0,50.0,42.0,3,0.0,0.2151,1.6096,1144.0243,13701.3142,30.67,,,,,
Atual_M2,KMeans,lloyd,k-means++,500.0,4.0,20.0,42.0,4,0.0,0.1787,1.9173,902.1323,12694.3028,18.4,,,,,
Atual_M2,KMeans,lloyd,k-means++,500.0,4.0,50.0,42.0,4,0.0,0.1787,1.9173,902.1323,12694.3028,18.4,,,,,
Atual_M2,KMeans,lloyd,k-means++,500.0,5.0,20.0,42.0,5,0.0,0.1613,1.853,785.7876,11789.1846,10.97,,,,,
Atual_M2,KMeans,lloyd,k-means++,500.0,5.0,50.0,42.0,5,0.0,0.1613,1.853,785.7876,11789.1846,10.97,,,,,
Atual_M2,KMeans,lloyd,k-means++,500.0,6.0,20.0,42.0,6,0.0,0.1563,1.8837,698.1894,11155.007,10.1,,,,,
Atual_M2,KMeans,lloyd,k-means++,500.0,6.0,50.0,42.0,6,0.0,0.156,1.8806,698.2023,11154.8963,10.1,,,,,
Atual_M2,KMeans,lloyd,k-means++,500.0,7.0,20.0,42.0,7,0.0,0.1532,1.9786,628.6753,10689.5657,10.13,,,,,
Atual_M2,KMeans,lloyd,k-means++,500.0,7.0,50.0,42.0,7,0.0,0.153,1.9866,628.7098,10689.2388,10.13,,,,,
Atual_M2,KMeans,lloyd,k-means++,500.0,8.0,20.0,42.0,8,0.0,0.1427,2.0702,575.1498,10300.7702,10.1,,,,,
Atual_M2,KMeans,lloyd,k-means++,500.0,8.0,50.0,42.0,8,0.0,0.1427,2.0702,575.1498,10300.7702,10.1,,,,,
Atual_M2,KMeans,lloyd,k-means++,500.0,9.0,20.0,42.0,9,0.0,0.1333,2.0465,526.4095,10033.931,8.6,,,,,
Atual_M2,KMeans,lloyd,k-means++,500.0,9.0,50.0,42.0,9,0.0,0.1333,2.0465,526.4095,10033.931,8.6,,,,,
Atual_M2,KMeans,lloyd,k-means++,500.0,10.0,20.0,42.0,10,0.0,0.1299,2.0848,488.1811,9784.2093,7.57,,,,,
