Cluster,Variavel,Categoria,Percentagem_%
0,gender,Male,51.29
0,gender,Female,48.71
0,SeniorCitizen,0,94.01
0,SeniorCitizen,1,5.99
0,Partner,No,55.51
0,Partner,Yes,44.49
0,Dependents,No,62.61
0,Dependents,Yes,37.39
0,Contract,Month-to-month,46.36
0,Contract,Two year,32.26
0,Contract,One year,21.38
0,PaperlessBilling,No,64.19
0,PaperlessBilling,Yes,35.81
0,PaymentMethod,Mailed check,44.15
0,PaymentMethod,Bank transfer (automatic),20.52
0,PaymentMethod,Credit card (automatic),20.37
0,PhoneService,Yes,82.36
0,PhoneService,No,17.64
0,MultipleLines,No,65.72
0,MultipleLines,No phone service,17.64
0,MultipleLines,Yes,16.63
0,InternetService,No,73.15
0,InternetService,DSL,26.85
0,OnlineSecurity,No internet service,73.15
0,OnlineSecurity,No,21.05
0,OnlineSecurity,Yes,5.8
0,OnlineBackup,No internet service,73.15
0,OnlineBackup,No,21.52
0,OnlineBackup,Yes,5.32
0,DeviceProtection,No internet service,73.15
0,DeviceProtection,No,22.96
0,DeviceProtection,Yes,3.88
0,TechSupport,No internet service,73.15
0,TechSupport,No,21.67
0,TechSupport,Yes,5.18
0,StreamingTV,No internet service,73.15
0,StreamingTV,No,24.4
0,StreamingTV,Yes,2.44
0,StreamingMovies,No internet service,73.15
0,StreamingMovies,No,23.92
0,StreamingMovies,Yes,2.92
1,gender,Male,50.3
1,gender,Female,49.7
1,SeniorCitizen,0,78.55
1,SeniorCitizen,1,21.45
1,Partner,Yes,67.45
1,Partner,No,32.55
1,Dependents,No,66.41
1,Dependents,Yes,33.59
1,Contract,Two year,41.43
1,Contract,One year,31.07
1,Contract,Month-to-month,27.5
1,PaperlessBilling,Yes,69.19
1,PaperlessBilling,No,30.81
1,PaymentMethod,Bank transfer (automatic),31.24
1,PaymentMethod,Credit card (automatic),30.46
1,PaymentMethod,Electronic check,30.33
1,PhoneService,Yes,93.47
1,PhoneService,No,6.53
1,MultipleLines,Yes,70.37
1,MultipleLines,No,23.11
1,MultipleLines,No phone service,6.53
1,InternetService,Fiber optic,63.01
1,InternetService,DSL,36.99
1,OnlineSecurity,Yes,54.26
1,OnlineSecurity,No,45.74
1,OnlineBackup,Yes,67.84
1,OnlineBackup,No,32.16
1,DeviceProtection,Yes,68.89
1,DeviceProtection,No,31.11
1,TechSupport,Yes,56.88
1,TechSupport,No,43.12
1,StreamingTV,Yes,72.06
1,StreamingTV,No,27.94
1,StreamingMovies,Yes,72.54
1,StreamingMovies,No,27.46
2,gender,Female,50.02
2,gender,Male,49.98
2,SeniorCitizen,0,80.29
2,SeniorCitizen,1,19.71
2,Partner,No,65.25
2,Partner,Yes,34.75
2,Dependents,No,79.01
2,Dependents,Yes,20.99
2,Contract,Month-to-month,85.6
2,Contract,One year,11.77
2,Contract,Two year,2.63
2,PaperlessBilling,Yes,68.97
2,PaperlessBilling,No,31.03
2,PaymentMethod,Electronic check,51.0
2,PaymentMethod,Mailed check,19.1
2,PaymentMethod,Bank transfer (automatic),14.97
2,PhoneService,Yes,93.83
2,PhoneService,No,6.17
2,MultipleLines,No,55.96
2,MultipleLines,Yes,37.87
2,MultipleLines,No phone service,6.17
2,InternetService,Fiber optic,61.98
2,InternetService,DSL,38.02
2,OnlineSecurity,No,75.52
2,OnlineSecurity,Yes,24.48
2,OnlineBackup,No,71.46
2,OnlineBackup,Yes,28.54
2,DeviceProtection,No,71.49
2,DeviceProtection,Yes,28.51
2,TechSupport,No,76.34
2,TechSupport,Yes,23.66
2,StreamingTV,No,62.39
2,StreamingTV,Yes,37.61
2,StreamingMovies,No,62.24
2,StreamingMovies,Yes,37.76
