Modelo,Conjunto,Tipo_Aplicacao,init,max_iter,n_clusters,n_init,random_state,N_Clusters,Ruido_%,Silhouette,Davies_Bouldin,Calinski_Harabasz,Inercia,Min_Cluster_%,batch_size,linkage,eps,min_samples
KMeans,Teste,fit treino + predict teste,k-means++,300.0,3.0,10.0,42.0,3,0.0,0.2194,1.586,547.2395,6431.563,30.09,,,,
KMeans,Teste,fit treino + predict teste,k-means++,300.0,3.0,20.0,42.0,3,0.0,0.2194,1.586,547.2395,6431.563,30.09,,,,
MiniBatchKMeans,Teste,fit treino + predict teste,k-means++,300.0,3.0,10.0,42.0,3,0.0,0.2191,1.5888,547.126,6435.0907,30.23,1024.0,,,
MiniBatchKMeans,Teste,fit treino + predict teste,k-means++,300.0,3.0,10.0,42.0,3,0.0,0.2188,1.5926,546.784,6435.0061,30.38,512.0,,,
Agglomerative,Teste,fit separado no teste,,,3.0,,,3,0.0,0.2025,1.5544,487.8959,,25.34,,average,,
Agglomerative,Teste,fit separado no teste,,,3.0,,,3,0.0,0.1985,1.5448,469.4592,,22.14,,ward,,
MiniBatchKMeans,Teste,fit treino + predict teste,k-means++,300.0,4.0,10.0,42.0,4,0.0,0.1907,1.6106,431.6223,5956.0594,13.84,512.0,,,
KMeans,Teste,fit treino + predict teste,k-means++,300.0,4.0,10.0,42.0,4,0.0,0.1901,1.615,431.3498,5957.1594,14.83,,,,
KMeans,Teste,fit treino + predict teste,k-means++,300.0,4.0,20.0,42.0,4,0.0,0.1901,1.615,431.3498,5957.0932,14.83,,,,
Agglomerative,Teste,fit separado no teste,,,4.0,,,4,0.0,0.1772,1.8191,387.0049,,12.49,,average,,
MiniBatchKMeans,Teste,fit treino + predict teste,k-means++,300.0,4.0,10.0,42.0,4,0.0,0.1767,1.9654,426.7375,5989.7371,21.5,1024.0,,,
KMeans,Teste,fit treino + predict teste,k-means++,300.0,5.0,20.0,42.0,5,0.0,0.1731,1.7774,375.8262,5531.0414,11.71,,,,
Agglomerative,Teste,fit separado no teste,,,3.0,,,3,0.0,0.1652,1.6002,414.4924,,13.98,,complete,,
Agglomerative,Teste,fit separado no teste,,,4.0,,,4,0.0,0.1638,1.9758,378.5265,,12.99,,ward,,
KMeans,Teste,fit treino + predict teste,k-means++,300.0,5.0,10.0,42.0,5,0.0,0.1629,1.8329,376.4199,5529.0731,11.92,,,,
KMeans,Teste,fit treino + predict teste,k-means++,300.0,6.0,10.0,42.0,6,0.0,0.1611,1.8354,334.7049,5226.8552,11.0,,,,
KMeans,Teste,fit treino + predict teste,k-means++,300.0,6.0,20.0,42.0,6,0.0,0.1611,1.8354,334.7049,5226.8552,11.0,,,,
MiniBatchKMeans,Teste,fit treino + predict teste,k-means++,300.0,6.0,10.0,42.0,6,0.0,0.1576,1.8669,336.8277,5214.0614,11.0,512.0,,,
MiniBatchKMeans,Teste,fit treino + predict teste,k-means++,300.0,5.0,10.0,42.0,5,0.0,0.1556,1.9221,370.4367,5596.3391,13.7,512.0,,,
MiniBatchKMeans,Teste,fit treino + predict teste,k-means++,300.0,5.0,10.0,42.0,5,0.0,0.1485,2.1825,355.2314,5708.5684,17.74,1024.0,,,
Agglomerative,Teste,fit separado no teste,,,5.0,,,5,0.0,0.1421,2.1054,335.0151,,12.99,,ward,,
Agglomerative,Teste,fit separado no teste,,,4.0,,,4,0.0,0.1421,2.1353,358.9029,,13.98,,complete,,
MiniBatchKMeans,Teste,fit treino + predict teste,k-means++,300.0,6.0,10.0,42.0,6,0.0,0.1413,2.0855,309.4473,5456.0603,12.92,1024.0,,,
Agglomerative,Teste,fit separado no teste,,,6.0,,,6,0.0,0.1305,2.0,296.859,,8.73,,ward,,
Agglomerative,Teste,fit separado no teste,,,5.0,,,5,0.0,0.1118,2.4177,301.3986,,13.98,,complete,,
