Cluster,Variavel,Desvio,Desvio_Absoluto
0,MonthlyCharges,-1.3042,1.3042
0,ServiceCount,-1.027,1.027
0,TotalCharges,-0.7015,0.7015
0,HasInternetService,-0.5149,0.5149
0,tenure,-0.1937,0.1937
0,SeniorCitizen,-0.1022,0.1022
1,TotalCharges,1.2566,1.2566
1,ServiceCount,1.0671,1.0671
1,tenure,1.0146,1.0146
1,MonthlyCharges,0.8317,0.8317
1,HasInternetService,0.2167,0.2167
1,SeniorCitizen,0.0524,0.0524
2,tenure,-0.7249,0.7249
2,TotalCharges,-0.5356,0.5356
2,MonthlyCharges,0.3044,0.3044
2,HasInternetService,0.2167,0.2167
2,ServiceCount,-0.1165,0.1165
2,SeniorCitizen,0.0349,0.0349
